Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Conn_01x02","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",-57.105000,63.802864,-90.000000,bottom
"J2","Conn_01x05_Male","PinHeader_1x05_P2.54mm_Vertical",-57.400000,83.782864,0.000000,bottom
